ev,nev,orszag,dij
1901,"van't Hoff, Jacobus Henricus",NL,kémiai
1902,"Fischer, Emil",D,kémiai
1903,"Arrhenius, Svante August ",S,kémiai
1904,"Ramsay, Sir William",GB,kémiai
1905,"Baeyer, Adolf von, lovag ",D,kémiai
1906,"Moissan, Henri ",F,kémiai
1907,"Buchner, Eduard",D,kémiai
1908,"Rutherford, Ernest ",GB,kémiai
1909,"Ostwald, Wilhelm ",D,kémiai
1910,"Wallach, Otto",D,kémiai
1911,"Curie-Sk?odowska, Marie",F,kémiai
1912,"Grignard, Victor ",F,kémiai
1912,"Sabatier, Paul ",F,kémiai
1913,"Werner, Alfred ",CH,kémiai
1914,"Richards, Theodore William ",USA,kémiai
1915,"Willstätter, Richard ",D,kémiai
1916,-,,kémiai
1917,-,,kémiai
1918,"Haber, Fritz ",D,kémiai
1919,-,,kémiai
1920,"Nernst, Walther",D,kémiai
1921,"Soddy, Frederick ",GB,kémiai
1922,"Aston, Francis William ",GB,kémiai
1923,"Pregl, Fritz ",A,kémiai
1924,-,,kémiai
1925,"Zsigmondy, Richard ",D,kémiai
1926,"Svedberg, The (Theodor)",S,kémiai
1927,"Wieland, Heinrich Otto ",D,kémiai
1928,"Windaus, Adolf ",D,kémiai
1929,"Harden, Arthur ",GB,kémiai
1929,"Euler-Chelpin, Hans von",S,kémiai
1930,"Fischer, Hans",D,kémiai
1931,"Bosch, Carl",D,kémiai
1931,"Bergius, Friedrich ",D,kémiai
1932,"Langmuir, Irving ",USA,kémiai
1933,-,,kémiai
1934,"Urey, Harold Clayton ",USA,kémiai
1935,"Joliot-Curie, Frédéric ",F,kémiai
1935,"Joliot-Curie, Ir?ne",F,kémiai
1936,"Debye, Peter ",NL,kémiai
1937,"Haworth, Walter Norman ",GB,kémiai
1937,"Karrer, Paul ",CH,kémiai
1938,"Kuhn, Richard",D,kémiai
1939,"Butenandt, Adolf Friedrich Johann",D,kémiai
1939,"Ruži?ka, Leopold ",CH,kémiai
1940,-,,kémiai
1941,-,,kémiai
1942,-,,kémiai
1943,Hevesy György,H,kémiai
1944,"Hahn, Otto ",D,kémiai
1945,"Virtanen, Artturi Ilmari ",SF,kémiai
1946,"Sumner, James",USA,kémiai
1946,"Northrop, John Howard",USA,kémiai
1946,"Stanley, Wendell Meredith",USA,kémiai
1947,"Robinson, Sir Robert ",GB,kémiai
1948,"Tiselius, Arne ",S,kémiai
1949,"Giauque, William Francis ",USA,kémiai
1950,"Diels, Otto",D,kémiai
1950,"Adler, Kurt",D,kémiai
1951,"McMillan, Edwin Mattison ",USA,kémiai
1951,"Seaborg, Glenn Theodore",USA,kémiai
1952,"Martin, Archer",GB,kémiai
1952,"Synge, Richard Laurence Millington",GB,kémiai
1953,"Staudinger, Hermann",D,kémiai
1954,"Pauling, Linus",USA,kémiai
1955,"du Vigneaud,",USA,kémiai
1956,"Hinshelwood, Sir Cyril Norman",GB,kémiai
1956,"Szemjonov, Nyikolaj Nyikolajevics",SU,kémiai
1957,"Todd, Sir Alexander",GB,kémiai
1958,"Sanger, Frederick",GB,kémiai
1959,"Heyrovský, Jaroslav",CS,kémiai
1960,"Libby, Willard Frank",USA,kémiai
1961,"Calvin, Melvin",USA,kémiai
1962,"Perutz, Max Ferdinand",GB,kémiai
1962,"Kendrew, John Cowdery",GB,kémiai
1963,"Ziegler, Karl",D,kémiai
1963,"Natta, Giulio",I,kémiai
1964,"Crowfoot-Hodgkin, Dorothy",GB,kémiai
1965,"Woodward, Robert Burns",USA,kémiai
1966,"Mulliken, Robert Sanderson",USA,kémiai
1967,"Eigen, Manfred",D,kémiai
1967,"Norrish, Ronald",GB,kémiai
1967,"Porter, George",GB,kémiai
1968,"Onsager, Lars",USA,kémiai
1969,"Barton, Derek Harold Richard",GB,kémiai
1969,"Hassel, Odd",N,kémiai
1970,"Leloir, Luis",RA,kémiai
1971,"Herzberg, Gerhard",CND,kémiai
1972,"Anfinsen, Christian Boehmer",USA,kémiai
1972,"Moore, Stanford",USA,kémiai
1972,"Stein, William Howard",USA,kémiai
1973,"Fischer, Ernst Otto",D,kémiai
1973,"Wilkinson, Geoffrey",GB,kémiai
1974,"Flory, Paul John",USA,kémiai
1975,"Cornforth, John Warcup",AU,kémiai
1975,"Prelog, Vladimir",CH,kémiai
1976,"Lipscomb, William Nunn, ifj.",USA,kémiai
1977,"Prigogine, Ilya",B,kémiai
1978,"Mitchell, Peter Dennis",GB,kémiai
1979,"Brown, Herbert Charles",USA,kémiai
1979,"Wittig, Georg ",D,kémiai
1980,"Berg, Paul ",USA,kémiai
1980,"Gilbert, Walter",USA,kémiai
1980,"Sanger, Frederick",GB,kémiai
1981,Fukui Kenidzsi,J,kémiai
1981,"Hoffmann, Roald",USA,kémiai
1982,"Klug, Aaron",GB,kémiai
1983,"Taube, Henry",USA,kémiai
1984,"Merrifield, Robert Bruce",USA,kémiai
1985,"Hauptman, Herbert Aaron",USA,kémiai
1985,"Karle, Jerome",USA,kémiai
1986,"Herschbach, Dudley Robert ",USA,kémiai
1986,"Lee, Yuan Ise",USA,kémiai
1986,"Polányi, John Charles",USA,kémiai
1987,"Cram, Donald J. ",USA,kémiai
1987,"Lehn, Jean-Marie",F,kémiai
1987,"Pedersen, Charles J.",USA,kémiai
1988,"Deisenhofer, Dr. Johann",D,kémiai
1988,"Huber, Robert ",D,kémiai
1988,"Michel, Hartmut",D,kémiai
1989,"Altman, Sidney",USA,kémiai
1989,"Cech, Thomas R.",USA,kémiai
1990,"Corey, Elias James",USA,kémiai
1990,Elias James Corey,USA,kémiai
1991,Richard R. Ernst,CH,kémiai
1993,"Kary B. Mullis,",USA,kémiai
1993,Michael Smith,CND,kémiai
1993,Rudolph A. Marcus,USA,kémiai
1994,George a. Olah,USA,kémiai
1995,"Paul J. Crutzen,",NL,kémiai
1995,"Mario J. Molina,",USA,kémiai
1995,F. Sherwood Rowland,USA,kémiai
1996,"Robert F. Curl Jr.,",USA,kémiai
1996,"Sir Harold Kroto,",GB,kémiai
1996,Richard E. Smalley,USA,kémiai
1997,"Paul D. Boyer,",USA,kémiai
1997,"ohn E. Walker,",GB,kémiai
1997,Jens C. Skou,DK,kémiai
1998,"Walter Kohn,",USA,kémiai
1998,John Pople,GB,kémiai
1999,Ahmed Zewail,EGYIPT,kémiai
2000,"Alan Heeger,",USA,kémiai
2000,"Alan G. MacDiarmid,",NZ,kémiai
2000,Hideki Shirakawa,J,kémiai
2001,"William S. Knowles,",USA,kémiai
2001,"Ryoji Noyori,",J,kémiai
2001,K. Barry Sharpless,USA,kémiai
2002,"John B. Fenn,",USA,kémiai
2002,"Koichi Tanaka,",J,kémiai
2002,Kurt Wüthrich,CH,kémiai
2003,"Peter Agre,",USA,kémiai
2003,Roderick MacKinnon,USA,kémiai
